"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","API Testing","0","Posts Endpoint — JSONPlaceholder","1","0","Manejo de errores — recurso no encontrado","0"
"0","API Testing","0","Posts Endpoint — JSONPlaceholder","1","0","Obtener listado de posts","0"
"0","UI Testing","0","Login — SauceDemo","1","0","Login fallido — usuario bloqueado","0"
"0","API Testing","0","Posts Endpoint — JSONPlaceholder","1","0","Crear nuevo post","0"
"0","API Testing","0","Posts Endpoint — JSONPlaceholder","1","0","Eliminar post","0"
"0","UI Testing","0","Login — SauceDemo","1","0","Login exitoso","0"
"0","API Testing","0","Posts Endpoint — JSONPlaceholder","1","0","Deserializar respuesta a objeto Java","0"
"0","API Testing","0","Posts Endpoint — JSONPlaceholder","1","0","Obtener post por ID","0"
"0","UI Testing","0","Login — SauceDemo","1","0","Login fallido — credenciales inválidas","0"
"0","UI Testing","0","Login — SauceDemo","1","0","Login fallido — campos vacíos","0"
